epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.924,3.29015,4.69087,4.27865,0.00089,0.1369,0.00073,0.0002,3.25569,4.89585,4.16346,0.000325,0.000325,0.000325
2,489.319,2.99557,4.10237,3.92492,0.00087,0.14625,0.00065,0.00018,3.36039,4.77922,4.24198,0.000655941,0.000655941,0.000655941
3,736.559,2.8909,3.77836,3.61107,0.00078,0.12685,0.00057,0.00016,3.4898,4.72623,4.42125,0.0009802,0.0009802,0.0009802
4,979.778,2.76005,3.4253,3.34851,0.00085,0.11858,0.00061,0.00018,3.44756,4.65012,4.36351,0.00121287,0.00121287,0.00121287
5,1222.44,2.53915,3.07494,3.08921,0.43901,0.01561,0.04416,0.01689,2.70862,4.26544,3.58975,0.0012005,0.0012005,0.0012005
6,1463.94,2.42325,2.92049,2.97015,0.74844,0.26952,0.28918,0.13618,1.8535,3.27736,2.60452,0.00118812,0.00118812,0.00118812
7,1703.57,2.22461,2.64653,2.79102,0.81109,0.16498,0.20551,0.08104,1.9727,5.88795,2.90943,0.00117575,0.00117575,0.00117575
8,1942.11,2.08204,2.43659,2.674,0.76302,0.36358,0.33221,0.17331,1.7614,3.92651,2.40749,0.00116337,0.00116337,0.00116337
9,2180.05,2.05828,2.3367,2.62395,0.80108,0.32682,0.43398,0.19909,1.79058,3.42072,2.53808,0.001151,0.001151,0.001151
10,2418.18,1.9249,2.17416,2.48697,0.85911,0.35809,0.43901,0.23616,1.53044,2.71485,2.19633,0.00113863,0.00113863,0.00113863
11,2658.56,1.80557,2.01643,2.3527,0.86964,0.30018,0.48978,0.26364,1.42935,2.08722,2.09047,0.00112625,0.00112625,0.00112625
12,2900.71,1.7502,2.01609,2.3285,0.64493,0.7512,0.71887,0.40572,1.35373,1.69795,2.0759,0.00111388,0.00111388,0.00111388
13,3141.43,1.61381,1.82243,2.22812,0.79553,0.47229,0.5823,0.34901,1.40503,2.12985,2.12021,0.0011015,0.0011015,0.0011015
14,3382.16,1.58849,1.77388,2.1307,0.6651,0.64887,0.66638,0.37751,1.3062,1.74989,1.93764,0.00108913,0.00108913,0.00108913
15,3623.43,1.58252,1.73332,2.11954,0.63118,0.65026,0.66025,0.37417,1.33949,3.07614,1.92462,0.00107675,0.00107675,0.00107675
16,3864.79,1.51702,1.58394,2.03608,0.62453,0.61942,0.65815,0.38944,1.27645,1.46176,1.85854,0.00106437,0.00106437,0.00106437
17,4105.93,1.43232,1.56266,1.98036,0.8279,0.72852,0.79347,0.49075,1.25266,1.50025,1.82039,0.001052,0.001052,0.001052
18,4346.52,1.34869,1.43558,1.90874,0.61011,0.68134,0.73389,0.44213,1.16713,1.89627,1.74245,0.00103962,0.00103962,0.00103962
19,4587.4,1.36839,1.44336,1.92358,0.80254,0.80983,0.85464,0.59071,1.00415,1.18102,1.56015,0.00102725,0.00102725,0.00102725
20,4829.15,1.30319,1.3266,1.83504,0.82702,0.78992,0.85466,0.61101,0.9313,1.06816,1.48699,0.00101488,0.00101488,0.00101488
21,5070.63,1.22424,1.30296,1.76519,0.8547,0.77647,0.86358,0.61435,0.93773,1.00131,1.49169,0.0010025,0.0010025,0.0010025
22,5311.21,1.182,1.22088,1.71798,0.79873,0.8372,0.85896,0.62007,0.93025,0.98909,1.48026,0.000990125,0.000990125,0.000990125
23,5554.55,1.18061,1.19438,1.69202,0.88722,0.84138,0.90752,0.63972,0.88068,0.99524,1.43742,0.00097775,0.00097775,0.00097775
24,5794.81,1.20418,1.17822,1.71733,0.73938,0.79137,0.82819,0.59721,0.90295,1.07268,1.45331,0.000965375,0.000965375,0.000965375
25,6035.63,1.14717,1.10827,1.67303,0.80522,0.75525,0.83054,0.62033,0.86122,0.92407,1.39904,0.000953,0.000953,0.000953
26,6277.16,1.12365,1.05116,1.64646,0.73347,0.85934,0.85492,0.60233,0.88141,0.97381,1.35874,0.000940625,0.000940625,0.000940625
27,6518.77,1.14131,1.06618,1.62358,0.8034,0.77439,0.82864,0.61023,0.89492,1.06063,1.45006,0.00092825,0.00092825,0.00092825
28,6760.71,1.10677,1.05665,1.6136,0.90452,0.88031,0.90115,0.68432,0.83214,0.93218,1.38008,0.000915875,0.000915875,0.000915875
29,7003.98,1.07723,0.99549,1.57304,0.85099,0.87187,0.88553,0.67831,0.80193,0.89655,1.32496,0.0009035,0.0009035,0.0009035
30,7245.54,1.05931,1.03315,1.57296,0.87559,0.87583,0.89473,0.69285,0.72494,0.76954,1.26891,0.000891125,0.000891125,0.000891125
31,7487.96,1.00651,0.94914,1.52539,0.8753,0.8619,0.89653,0.69305,0.71282,0.76619,1.25536,0.00087875,0.00087875,0.00087875
32,7729.97,0.97069,0.93779,1.51599,0.93067,0.82227,0.91019,0.68743,0.72525,0.81932,1.27077,0.000866375,0.000866375,0.000866375
33,7971.34,1.00971,0.94429,1.51791,0.76496,0.85018,0.88443,0.673,0.72409,0.93299,1.24798,0.000854,0.000854,0.000854
34,8213.67,0.99626,0.95637,1.51256,0.89283,0.92702,0.9453,0.72975,0.73378,0.73455,1.2657,0.000841625,0.000841625,0.000841625
35,8456.13,0.98923,0.91871,1.51575,0.9059,0.88844,0.92835,0.72682,0.77311,0.73381,1.27652,0.00082925,0.00082925,0.00082925
36,8698.81,0.99453,0.93968,1.5188,0.96093,0.86642,0.93147,0.72698,0.75792,0.72548,1.26448,0.000816875,0.000816875,0.000816875
37,8939.67,0.93164,0.86322,1.44338,0.9122,0.91802,0.93266,0.74318,0.67035,0.71558,1.20513,0.0008045,0.0008045,0.0008045
38,9179.84,0.94863,0.86359,1.44812,0.89524,0.90211,0.9287,0.7243,0.65067,0.67235,1.16907,0.000792125,0.000792125,0.000792125
39,9421.64,0.92384,0.86709,1.44666,0.91251,0.9203,0.95542,0.75614,0.68041,0.62262,1.2029,0.00077975,0.00077975,0.00077975
