epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,608.156,0.73,3.26915,1.09801,0.00788,0.99358,0.46354,0.40539,0.47461,3.65007,0.8829,0.000252131,0.000252131,0.000252131
2,1218.35,0.67526,1.84925,1.05911,0.71917,0.67608,0.73479,0.64663,0.52666,2.317,0.93938,0.000503431,0.000503431,0.000503431
3,1818.24,0.69053,1.37427,1.04134,0.81726,0.77097,0.87914,0.73917,0.57857,1.86007,0.99683,0.000749655,0.000749655,0.000749655
4,2421.72,0.68629,1.22071,1.03914,0.83197,0.85447,0.89042,0.75564,0.57137,1.43959,0.96617,0.000746161,0.000746161,0.000746161
5,3030.24,0.65072,1.08814,1.01865,0.85747,0.89754,0.9474,0.80608,0.54544,1.53148,0.94457,0.000738548,0.000738548,0.000738548
6,3637.54,0.64365,1.03387,1.01532,0.92518,0.90537,0.94705,0.81139,0.52447,1.28723,0.92554,0.000730935,0.000730935,0.000730935
7,4243.65,0.61016,0.91996,0.99593,0.91049,0.90238,0.92681,0.79115,0.53979,1.08854,0.93782,0.000723321,0.000723321,0.000723321
8,4848.56,0.60678,0.86478,0.99303,0.94377,0.94591,0.97635,0.85891,0.47475,0.86825,0.89021,0.000715708,0.000715708,0.000715708
9,5453.52,0.58512,0.78749,0.97512,0.9242,0.95162,0.97726,0.88068,0.43826,0.8973,0.86722,0.000708095,0.000708095,0.000708095
10,6056.88,0.57482,0.74432,0.9736,0.95004,0.98512,0.98511,0.87381,0.45258,0.71485,0.86753,0.000700482,0.000700482,0.000700482
11,6663.63,0.56493,0.69839,0.97048,0.9566,0.96814,0.98532,0.87851,0.46589,0.72854,0.88698,0.000692869,0.000692869,0.000692869
12,7268.67,0.58114,0.66534,0.97727,0.95252,0.96609,0.98459,0.88553,0.44717,0.66652,0.85326,0.000685256,0.000685256,0.000685256
13,7875.45,0.55902,0.63539,0.96123,0.96998,0.97517,0.98474,0.89087,0.43806,0.55417,0.85576,0.000677643,0.000677643,0.000677643
14,8479.66,0.54261,0.58559,0.95327,0.95492,0.94978,0.98702,0.89125,0.4468,0.58901,0.87356,0.00067003,0.00067003,0.00067003
15,9083.17,0.55236,0.58198,0.95883,0.97439,0.97723,0.9885,0.90393,0.39967,0.4993,0.82927,0.000662417,0.000662417,0.000662417
16,9686.17,0.54829,0.55816,0.9555,0.95278,0.98944,0.9907,0.89964,0.41563,0.53037,0.84233,0.000654804,0.000654804,0.000654804
17,10290.1,0.55279,0.56282,0.95579,0.94265,0.94924,0.9849,0.90653,0.3875,0.4975,0.83318,0.00064719,0.00064719,0.00064719
18,10892.8,0.51929,0.50878,0.93984,0.972,0.97957,0.98909,0.90769,0.40163,0.45967,0.84146,0.000639577,0.000639577,0.000639577
19,11496.4,0.52133,0.49579,0.95439,0.97762,0.98382,0.98973,0.91259,0.39055,0.41063,0.83519,0.000631964,0.000631964,0.000631964
20,12099.2,0.53225,0.48988,0.9459,0.97236,0.97455,0.9913,0.91765,0.37363,0.43938,0.82982,0.000624351,0.000624351,0.000624351
21,12701.9,0.51965,0.48457,0.94882,0.98471,0.9919,0.99129,0.91422,0.40868,0.3929,0.84328,0.000616738,0.000616738,0.000616738
22,13303.5,0.5102,0.45012,0.93932,0.96216,0.9893,0.99066,0.91705,0.39596,0.37594,0.83483,0.000609125,0.000609125,0.000609125
23,13906.9,0.50597,0.44709,0.9361,0.96375,0.99812,0.99051,0.92323,0.36312,0.36101,0.82285,0.000601512,0.000601512,0.000601512
24,14536.3,0.51243,0.45066,0.93524,0.97219,0.99464,0.99214,0.91897,0.39139,0.35134,0.83004,0.000593899,0.000593899,0.000593899
25,15152,0.50312,0.43611,0.93801,0.98038,0.97183,0.99056,0.91508,0.39027,0.36147,0.82778,0.000586286,0.000586286,0.000586286
26,15754.9,0.4943,0.41363,0.936,0.97643,0.99549,0.99104,0.90635,0.41122,0.34803,0.83573,0.000578672,0.000578672,0.000578672
27,16359.2,0.51567,0.4291,0.94323,0.97814,0.99012,0.99198,0.92678,0.3757,0.34008,0.82248,0.000571059,0.000571059,0.000571059
28,16963.3,0.52096,0.41422,0.93772,0.97843,0.98951,0.99172,0.90539,0.39817,0.32604,0.83292,0.000563446,0.000563446,0.000563446
29,17568.2,0.49968,0.40429,0.93401,0.98181,0.99002,0.99265,0.91807,0.38029,0.32313,0.82325,0.000555833,0.000555833,0.000555833
30,18172.2,0.49082,0.38948,0.93498,0.98262,0.99468,0.99348,0.92525,0.37046,0.30669,0.8187,0.00054822,0.00054822,0.00054822
31,18777.7,0.48384,0.39687,0.92551,0.97706,0.99786,0.99353,0.93561,0.35385,0.3038,0.82168,0.000540607,0.000540607,0.000540607
32,19381,0.49106,0.40468,0.93962,0.97573,0.98037,0.98977,0.92508,0.35548,0.30943,0.81888,0.000532994,0.000532994,0.000532994
33,19986.7,0.4925,0.37919,0.92419,0.98187,0.99562,0.99323,0.93551,0.35751,0.29171,0.81193,0.000525381,0.000525381,0.000525381
34,20589.2,0.49026,0.37258,0.9359,0.98804,0.99684,0.99294,0.93494,0.35003,0.28651,0.81004,0.000517768,0.000517768,0.000517768
35,21192.3,0.47286,0.36955,0.92445,0.99397,0.9947,0.99213,0.938,0.33463,0.2659,0.80561,0.000510155,0.000510155,0.000510155
36,21796.8,0.45699,0.3672,0.92017,0.98751,0.99919,0.99312,0.9443,0.33984,0.26813,0.80651,0.000502541,0.000502541,0.000502541
37,22404.7,0.45675,0.35737,0.90905,0.98124,0.99631,0.9923,0.93676,0.33547,0.25974,0.80749,0.000494928,0.000494928,0.000494928
38,23007.5,0.4524,0.35117,0.91704,0.99087,0.99238,0.99366,0.93631,0.35795,0.27015,0.81035,0.000487315,0.000487315,0.000487315
39,23610.6,0.46317,0.35312,0.92789,0.98731,0.99397,0.99282,0.93768,0.33978,0.26568,0.80347,0.000479702,0.000479702,0.000479702
40,24214.3,0.4545,0.33858,0.91486,0.98575,0.99912,0.99313,0.93898,0.34273,0.26771,0.80735,0.000472089,0.000472089,0.000472089
41,24819.3,0.44956,0.34488,0.91501,0.98486,1,0.99212,0.93614,0.3409,0.25879,0.80734,0.000464476,0.000464476,0.000464476
